Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,AFE,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,260.357,348.365,0,216.353,440.04,300.694,333.697,399.703,476.71,300.694,513.38,300.694,385.035,187.017,304.361,396.036,616.056,931.418,1191.775,1202.776,392.369,440.04,480.377,403.37,388.702,363.033,352.032,337.364,322.696,308.028,282.359,264.024,242.022,223.687,209.019,546.383,465.709,227.354,330.03,330.03,308.028,297.027,271.358,271.358,308.028,308.028,297.027,271.358,282.359,319.029
Africa Western and Central,AFW,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,101.6501435,159.7359398,275.9075324,474.3673364,503.4102346,435.6434722,222.6622191,417.4916609,848.8997104,1117.949892,1925.100436,2356.508486,1414.832851,1674.60544,9179.839904,6459.19241,3299.906718,3295.21935,12777.18956,12885.15259,5884.188399,5147.491766,7015.041194,8333.587398,8873.205951,9703.74929,10401.55752,9839.564314,11937.67227,12649.53032,13946.79797,13679.85119,13567.45255,14676.79951,15981.09447,16709.82867,18390.09477,20373.56799,18629.01345,19803.66329,29309.25215,31501.62654,33148.02352,33947.9439,33389.26935,33343.79114,29937.06034,33958.1481,44380.74144,44868.21491,44926.05075,50375.01268,50589.83149,49110.88656
Angola,AGO,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,84.341,84.341,110.01,124.678,132.012,124.678,110.01,135.679,135.679,135.679,146.68,172.349,172.349,198.018,220.02,220.02,245.689,297.027,300.694,319.029,1012.092,1085.432,1067.097,1048.762,971.755,1048.762,1048.762,1067.097,1085.432,1048.762,1085.432,990.09,1158.772,1217.444,1441.131,1250.447,1305.452,1595.145,1272.449,1290.784,1371.458,1404.461,1422.796,766.403,579.386,1441.131,1496.136
Albania,ALB,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,84.341,84.341,84.341,84.341,84.341,84.341,102.676,128.345,146.68,168.682,187.017,242.022,278.692,366.7,429.039,553.717,671.061,700.397,678.395,707.731,773.737,806.74,865.412,975.422,1045.095,971.755,1052.429,451.041,355.699,447.374,465.709,275.025,198.018,157.681,99.009,51.338,44.004,36.67,33.003,29.336,22.002,14.668,25.669,25.669,33.003,22.002,22.002,33.003,14.668,18.335,25.669,29.336,29.336,33.003,58.672,62.339,161.348
Andorra,AND,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,11588.97278,17346.04999,21579.19499,20957.02112,26399.07358,29175.22914,27312.23258,53434.24418,53229.15946,100294.1687,107398.613,72658.03483,76101.91037,129052.4642,140885.4657,170529.882,186735.4447,195588.9135,210424.665,242553.3151,264251.1406,275882.845,307523.0911,324709.7172,297650.2519,318188.3861,313248.1008,332170.3983,334431.7965,352016.5832,346651.0778,387085.6502,404167.904,439812.951,497318.1803,514288.3306,524350.586,572667.194,580866.212,627755.1472,672082.4089,713825.3622,712110.2159,741294.7442,810116.9223,833572.7073
United Arab Emirates,ARE,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,872.746,1151.438,1133.103,440.04,1107.434,1309.119,1631.815,1796.83,1521.805,1686.82,1114.768,1279.783,7176.319,8782.465,11158.681,11686.729,10689.305,14745.007,18423.008,22137.679,25144.619,25580.992,31085.159,30725.793,36827.681,34029.76,35628.572,41301.421,44909.749,54282.601,53200.836,55951.086,57025.517,60380.822,61979.634,69584.992,72272.903,77139.012,78290.45,82628.511,91370.639,107890.474,113563.323,116962.632,130277.509,132716.064,136522.41,133453.131,134267.205,135022.607
Argentina,ARG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,2365.215,4033.7,5111.798,5834.197,6472.255,7253.326,7854.714,8214.08,9149.165,9112.495,10289.602,11030.336,12478.801,14198.624,14935.691,15735.097,16479.498,16919.538,16439.161,18030.639,19581.78,20502.197,23267.115,26285.056,27322.817,28833.621,30989.817,36728.672,42265.842,44645.725,43248.598,47322.635,48342.061,40839.379,42713.216,53237.506,57590.235,61554.262,61664.272,67674.485,69493.317,64861.896,62669.03,69126.617,82980.543,82034.457,83937.63,87248.931,90193.532,88066.672,86999.575,92661.423,95459.344,90835.257,96691.456,98359.941,102268.963
