Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,AFE,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,138070.8827,142804.1006,146802.8173,151597.9124,160867.6223,174691.7279,173143.5782,178620.7583,187661.0217,190974.8076,196893.2182,211291.5021,216361.3951,216902.2456,220317.5279,224539.0033,240300.5923,247157.6868,251023.7517,277926.5401,298858.002,332935.928,351014.3049,365110.0297,400534.9512,413707.931,427554.4086,435922.7508,451317.7429,437036.4085,410186.6514,427287.6951,402738.0555,445215.1833,460573.2767,484831.5416,490563.6759,502764.3276,492823.9174,509271.1632,511274.0817,510166.6479,492378.8244,536612.5899,574143.4669,565665.5051,573327.4631,587724.1019,624245.916,611439.7032,607317.5545,598691.7728,594031.6213,593205.5036,626313.7612,587353.8361,605867.3468
Afghanistan,AFG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,128.345,176.016,297.027,264.024,300.694,381.368,429.039,399.703,333.697,363.033,436.373,359.366,190.684,311.695,304.361,399.703,425.372,451.041,575.719,352.032,315.362,333.697,385.035,385.035,392.369,399.703,425.372,443.707,366.7,337.364,278.692,249.356,22.002,18.335,14.668,14.668,7.334,3.667,3.667,3.667,3.667,69.673,55.005,91.675,91.675,106.343,161.348,748.068,1078.098,1536.473,2299.209,4305.058,3667,3942.025,4378.398,3975.028,4829.439
Africa Western and Central,AFW,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.183678,990.30532,1189.538343,1037.183678,1171.958959,1599.723979,1523.546646,1775.517822,1769.658028,2232.581816,2127.10551,2045.068383,2642.767452,2858.611009,3632.489127
Angola,AGO,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,124.678,62.339,91.675,22.002,77.007,55.005,88.008,55.005,102.676,91.675,47.671,29.336,7.334,22.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,326.363,322.696,363.033,282.359,333.697,396.036,476.71,524.381,590.387,689.396,891.081,990.09,1081.765,1169.773,1210.11,1261.448,1272.449,1701.488,2126.86,2684.244,2324.878,2647.574,2882.262,3105.949,3402.976,3725.672,3711.004,3736.673,4019.032,4059.369,2500.894,1481.468,799.406,601.388,168.682,161.348,113.677,44.004,55.005,110.01,69.673,80.674,84.341,84.341,84.341,73.34,73.34,73.34,102.676,388.702,429.039,535.382,627.057,550.05,700.397,227.354,14.668
Andorra,AND,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.673,359.366,421.705,476.71,550.05,1067.097,513.38,1378.792,1041.428,2478.892,1675.819,5243.81,6710.61,7484.347,6501.591,6985.635
Argentina,ARG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,3909.022,3542.322,2009.516,2306.543,2559.566,2603.57,2588.902,2940.934,2368.882,2592.569,3289.299,2929.933,2860.26,2882.262,3369.973,3597.327,3241.628,2706.246,3835.682,3604.661,2867.594,2959.269,2662.242,2192.866,2148.862,2775.919,3395.642,3780.677,4026.366,4147.377,3072.946,2691.578,2805.255,2302.876,3564.324,3703.67,3102.282,2779.586,2841.925,2156.196,1657.484,1290.784,1100.1,1991.181,2200.2,3270.964,3868.685,3663.333,3879.686,3234.294,3993.363,4726.763,5012.789,4235.385,4176.713,4008.031,3010.607
Armenia,ARM,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.034,7.334,95.342,7.334,14.668,14.668,14.668,7.334,0,0,47.671,73.34,0,0,3.667,7.334,7.334,0,3.667,7.334,7.334,3.667,0,3.667,3.667
American Samoa,ASM,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,58976.361,60021.456,61535.927,63780.131,67190.441,71117.798,71458.829,75466.86,76647.634,78041.094,74355.759,74322.756,77799.072,79779.252,85272.418,87014.243,88943.085,96258.75,104164.802,107402.763,118084.734,121242.021,123574.233,122389.792,128051.64,135800.011,134567.899,147512.409,150625.692,161923.719,143001.999,147563.747,151241.748,152459.192,151150.073,153188.925,166089.431,173867.138,185403.52,189660.907,189976.269,193544.26,198058.337,189440.887,196169.832,202733.762,209396.701,207390.852,208267.265,215168.559,206294.419,199070.429,195443.766,174835.226,163449.191,169199.047,172598.356
Austria,AUT,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,18063.642,17674.94,18100.312,19614.783,18951.056,17979.301,16857.199,15764.433,15397.733,15339.061,17814.286,15060.369,15647.089,15867.109,16618.844,14576.325,14279.298,12552.141,12845.501,14447.98,14202.291,14653.332,14139.952,14407.643,16868.2,16670.182,14737.673,14811.013,14297.633,13857.593,15713.095,16439.161,12750.159,11441.04,11613.389,13215.868,13274.54,14106.949,12361.457,12302.785,13901.597,14334.303,14561.657,15639.755,15247.386,15295.057,15460.072,14690.002,14330.636,10975.331,13039.852,13252.538,12310.119,12530.139,11415.371,12266.115,11393.369
Azerbaijan,AZE,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.006,11.001,3.667,14.668,14.668,14.668,3.667,0,0,0,0,0,0,0,0,22.002,14.668,14.668,22.002,18.335,14.668,11.001,7.334,11.001,3.667
Burundi,BDI,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667,3.667,7.334,7.334,14.668,18.335,18.335,14.668,18.335,25.669,18.335,18.335,14.668,14.668,18.335,18.335,18.335,18.335,18.335,18.335,18.335,7.334,7.334,11.001,11.001,7.334,7.334,7.334,14.668,11.001,14.668,14.668,18.335,11.001,29.336,22.002,14.668,7.334,14.668
Belgium,BEL,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,67960.511,67043.761,68598.569,71341.485,65074.582,61887.959,58239.294,56919.174,58514.319,55932.751,49038.791,40439.676,42163.166,45276.449,48496.075,38510.834,41297.754,38862.866,43684.971,47142.952,47194.29,46248.204,45668.818,36662.666,42042.155,40744.037,36090.614,36482.983,33153.347,40098.645,38250.477,36182.289,33630.057,30439.767,32724.308,31382.186,30296.754,29189.32,29596.357,25837.682,29086.644,26651.756,23274.449,21906.658,21026.578,18657.696,17971.967,16046.792,16281.48,11316.362,13886.929,12915.174,11752.735,12394.46,11804.073,11481.377,10557.293
Benin,BEN,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.017,110.01,319.029
Burkina Faso,BFA,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,5892.869,5804.861,6189.896,6681.274,6523.593,6171.561,5331.818,5236.476,5680.183,5240.143,4880.777,4312.392,355.699,462.042,410.704,473.043,447.374,502.379,421.705,359.366,447.374,465.709,568.385,304.361,117.344,187.017,282.359,443.707,381.368,102.676,1070.764,341.031,322.696,121.011,99.009,1221.111,678.395,1228.445,352.032,176.016,1254.114,1331.121,1331.121,1367.791,1452.132,1606.146,1811.498,2211.201,2471.558,3017.941,3076.613,2838.258,3424.978,3751.341,3509.319,8613.783,6226.566
Bulgaria,BGR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,18639.361,21448.283,24748.583,26805.77,32144.922,33938.085,34774.161,37729.763,39328.575,41169.409,33153.347,32166.924,32834.318,33564.051,33164.348,34425.796,31741.552,31653.544,33919.75,35001.515,36603.994,37165.045,39141.558,39060.884,39181.895,41132.739,41037.397,41807.467,37938.782,38609.843,35932.933,29809.043,30260.084,32269.6,29471.679,29790.708,30007.061,30586.447,28760.281,25404.976,25170.288,28587.932,26120.041,28488.923,28239.567,26761.766,27007.455,30406.764,29618.359,24810.922,26710.428,32042.246,27425.493,23197.442,25008.94,25907.355,22339.364
Bahrain,BHR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,36.67,0,36.67,0,0,0,0,0,80.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",BHS,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,3.667,0,14.668,11.001,0,0,0,0,0,0,66.006,36.67,0,0,0,0,0,0,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,7.334,7.334,7.334,7.334,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667,3.667
Bosnia and Herzegovina,BIH,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12596.145,10916.659,1177.107,1378.792,1998.515,6248.568,7964.724,7763.039,9717.55,9464.527,10461.951,10821.317,11100.009,11859.078,12907.84,12698.821,14587.326,15331.727,15885.444,18500.015,17249.568,17099.221,14561.657,13501.894,16164.136
Belarus,BLR,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7880.383,6838.955,5929.539,5309.816,5056.793,4176.713,4063.036,3248.962,3512.986,2959.269,2640.24,2599.903,2302.876,2273.54,2299.209,2207.534,2035.185,2071.855,2273.54,2317.544,2944.601,3146.286,3256.296,2929.933,3157.287
Belize,BLZ,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,7.334,3.667,3.667,3.667,3.667,3.667,3.667,0,3.667,3.667,3.667,3.667,0,0,0,3.667,0,0,0,3.667,3.667,3.667,3.667,3.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,4968.785,4682.759,5672.849,5423.493,6175.228,6948.965,8371.761,8129.739,8540.443,9424.19,8910.81,8991.484,9380.186,9017.153,9548.868,11070.673,11529.048,15067.703,17722.611,18478.013,20003.485,19739.461,21569.294,23945.51,29020.638,34898.839,35151.862,40267.327,39808.952,39962.966,35749.583,41037.397,39442.252,40443.343,42115.495,44403.703,46893.596,47678.334,46607.57,48217.383,51249.992,50644.937,48826.105,52379.428,54480.619,52815.801,52269.418,55346.031,56006.091,44495.378,58543.655,64165.166,62944.055,68840.591,73666.363,74469.436,67318.786
